구분,명칭,유의어
소속,Lancang-Mekong Water Resources Cooperation Center (LMC Water Center),랑총-메콩 물자원 협력 센터 (LMC 물 센터)
소속,Nanjing Hydraulic Research Institute (NHRI),난징 유압 연구소 (NHRI)
소속,North China University of Water Resources and Electric Power (NCWU),북중국 수자원 및 전력 대학 (NCWU)
소속,Peking University (PKU),베이징 대학교 (PKU)
소속,Tsinghua University (THU),칭화 대학교 (Chinghwa Daehakgyo)
소속,General Institute of Water Resources and Hydropower Planning and Design (GIWP),일반 수자원 및 수력 계획 및 디자인 연구소 (GIWP)
소속,Asian Institute of Technology (AIT),아시아 공과대학 (AIT)
소속,Rangsit University (RSU),랑싯 대학교 (RSU)
소속, Aqua Smart ICT for Water,스마트 물 관리 ICT
소속,KDI 국제정책대학원,KDI 국제정책대학원
소속,한밭대학교,한밭대학교
소속,김&장 법률사무소,김&장 법률사무소
소속,SK 하이닉스,SK 하이닉스
소속,힐스포레,힐스포레
소속,한국환경연구원,한국환경연구원
소속,Akvo Foundation ,아크보 파운데이션
소속,International Business Machines (IBM),국제 비즈니스 머신 (IBM)
소속,Crazy About Water,크레이지 어바웃 워터
소속,The GoodWater Company,더 굿워터 컴퍼니
소속,Hill Dickinson,힐 디킨슨
소속,JSC Nenskra Hydro,JSC 넨스크라 하이드로
소속,China Water Investment Co. Ltd (HHO),중국 수자원 투자 유한회사 (HHO)
소속,Changjiang Institute or Survey Planning Design And Research(CISPDR Corporation),"장강 조사, 계획, 설계 및 연구원 (CISPDR 회사)"
소속,"China Water Resources Pearl River Planning Surveying & Designing Co., Ltd. (PRPSDC)",중국 수자원 진주강 계획 조사 및 설계 주식회사 (PRPSDC)
소속,"Yellow River Engineering Consulting Co., Ltd (YREC)",황하 공정 컨설팅 유한회사 (YREC)
소속,Honghe Prefecture Water Resources and Hydropower Survey and Design Institute in Yunnan Province (HWRSI),윈난성 홍허 자치주 수자원 및 수력 조사 설계 연구소 (HWRSI)
소속,STAR Hydropower Limited (SHPL),STAR 수력발전 유한회사 (SHPL)
소속,Luzon Clean Water Development Corporation,루손 청정수 개발 회사
소속,Manila Water Company Inc. (MWCI),마닐라 워터 회사 주식회사 (MWCI)
소속,Maynilad Water Services Inc. (MWSI),메이닐라드 워터 서비스 주식회사 (MWSI)
소속,IGS Asia Pacific Pty Ltd.,IGS 아시아 태평양 유한회사
소속,Ministry of Energy and Mines (MEM),에너지 및 광산부 (MEM)
소속,Ministry of Public Works and Transport (MPWT),공공사업 및 교통부 (MPWT)
소속,Dept. of Water Resources of the Ministry of Natural Resource and Environment (MONRE),자연자원 및 환경부 (MONRE)의 수자원부서
소속,Ministry of Energy and Natural Resources (KeTSA),에너지 및 천연 자원부 (KeTSA)
소속,"Ministry of Science, Technology, and Innovation (MOSTI)",과학 기술 혁신부 (MOSTI)
소속,Ministry of Environment and Tourism (MoET),환경 관광부 (MoET)
소속,"Ministry of Agriculture, Livestock and Irrigation (MOALI)","농업, 축산 및 관개부 (MOALI)"
소속,Ministry of Water Resources (MOWR),물 자원부 (Mool Jahwonbu)
소속,Ministry of Natural Resources and Environment (MONRE),자연자원 및 환경부 (MONRE)
소속,Ministry of Public Works and Housing (MPWH),공공사업 및 주택부 (MPWH)
소속,Ministry of Water Resources (MWR),물자원부 (MWR)
소속,Ministry of Water Resources and Meteorology (MOWRAM),물 자원 및 기상청 부서 (MOWRAM)
소속,Ministry of Agriculture and Cooperatives (MOAC),농업 및 협동조합부 (MOAC)
소속,Office of the National Water Resources (ONWR),국가 수자원 사무소 (ONWR)
소속,Royal Irrigation Department (RID),왕립 관개청 (RID)
소속,Local Water Utilities Administration (LWUA),지방 수도 관리청 (LWUA)
소속,Metropolitan Waterworks and Sewerage System (MWSS),메트로폴리탄 수도 및 하수도 시스템 (MWSS)
소속,Society of Public Health Engineers Nepal(SOPHEN),네팔 공중보건 엔지니어 협회 (SOPHEN)
소속,SMART WASH Solutions,스마트 워시 솔루션스
소속,The Resources Centre (TRC),자원 센터 (TRC)
소속,The Third Pole,더 서드 폴
소속,Mekong River Commission (MRC),메콩강 위원회 (MRC)
소속,Water Links,워터 링크스
소속,Society for People’s Action in Change and Equity (SPACE),변화와 평등을 위한 시민 행동 협회 (SPACE)
소속,"Global Institute for Water, Environment and Health (GIWEH)","세계 물, 환경 및 건강 연구소 (GIWEH)"
소속,International Union for Conservation of Nature and Natural Resources (IUCN),자연보호와 자원보존을 위한 국제연맹 (IUCN)
소속,International Association for Hydro-Environment Engineering and Research (IAHR),국제 수자원 환경 공학 연구협회 (IAHR)
소속,Cape Partnership,케이프 파트너십
소속,Global Water Partnership Central Asia and Caucasus,중앙아시아 및 남캅카스 글로벌 물 파트너십
소속,Agency of International Fund for Saving the Aral Sea for project implementation in Uzbekistan (Agency of IFAS),우즈베키스탄에서 프로젝트 실행을 위한 아랄해 구제 국제 기금 기관 (IFAS 기관)
소속,AWC Indonesia,AWC 인도네시아
소속,Global Water Partnership South East Asia (GWP SEA),동남아시아 글로벌 물 파트너십 (GWP SEA)
소속,Food and Agriculture Organization of the United Nations (UNFAO),유엔 식량 농업 기구 (UNFAO)
소속,Gomal Damaan Area Water Partnership(GDAWP),고말 다만 지역 물 파트너십 (GDAWP)
소속,International Water Resources Association (IWRA),국제 수자원 협회 (IWRA)
소속,Action Against Hunger / Action Contre La Faim (ACF),국제 기아 구호 단체 / 기아에 맞서는 행동 (ACF)
소속,International Commission on Large Dams (ICOLD),국제 대형 댐 위원회 (ICOLD)
소속,International Network of Basin Organization(INBO),국제 유역 조직 네트워크 (INBO)
소속,UNESCO– International Hydrological Programme (UNESCO-IHP),유네스코 - 국제 수자원 프로그램 (유네스코-IHP)
소속,Australian Water Partnership (AWP),호주 워터 파트너십 (AWP)
소속,Mizuho Bank (MHBK),미즈호 은행 (MHBK)
소속,World Bank (WB),월드 뱅크 (WB)
소속,Lao National Mekong Committee Secretariat (LNMCS),라오 국가 메콩 위원회 사무국 (LNMCS)
소속,Dhaka Water Supply and Sewerage Authority (DWASA),다카 수도 및 하수도 관리청 (DWASA)
소속,National Center for Water Resources Planning and Investigation (NAWAPI),국립 수자원 계획 및 조사 센터 (NAWAPI)
소속,Public Utilities Board (PUB),공공서비스위원회 (PUB)
소속,Perum Jasa Tirta 1 (PJT1),페룸 자사 티르타 1 (PJT1) 인도네시아 물관리 기업
소속,Perum Jasa Tirta 2 (PJT2),페룸 자사 티르타 2 (PJT2) 인도네시아 물관리 기업
소속,JSC Partnership Fund,JSC 파트너십 펀드
소속,Changjiang Water Resources Commission (CWRC),장강 수자원 위원회 (CWRC)
소속,Metropolitan Waterworks Authority (MWA),도시 수도 관리청 (MWA)
소속,Water Services Regulatory Commission (WSRC),수자원 서비스 규제 위원회 (WSRC)
소속,국토교통과학기술진흥원,국토교통과학기술진흥원
소속,한국수자원공사,한국수자원공사
소속,대진대학교,대진대학교
소속,한국국제협력단,한국국제협력단
소속,한국과학기술원,한국과학기술원
소속,한-메콩 물관리 공동연구센터,한-메콩 물관리 공동연구센터
소속,한국농촌경제연구원,한국농촌경제연구원
소속,한국농어촌공사,한국농어촌공사
소속,에코스마트상수도시스템개발사업단,에코스마트상수도시스템개발사업단
소속,한-아세안센터,한-아세안센터
소속,한국기후변화학회,한국기후변화학회
소속,한국해외인프라도시개발지원공사,한국해외인프라도시개발지원공사
소속,서울대학교,서울대학교
소속,Global Green Growth Institute (GGGI),글로벌 그린 성장 연구소 (GGGI)
소속,한국물포럼,한국물포럼
소속,유네스코물안보국제연구교육센터,유네스코물안보국제연구교육센터
소속,APEC기후센터,APEC기후센터
소속,수자원기술주식회사,수자원기술주식회사
소속,평화엔지니어링,평화엔지니어링
소속,한국종합엔지니어링,한국종합엔지니어링
소속,에스지에이비엘씨㈜,에스지에이비엘씨㈜
소속,포스코건설,포스코건설
소속,DL이앤씨(구 대림산업),DL이앤씨(구 대림산업)
소속,동부엔지니어링,동부엔지니어링
소속,SK텔레콤,SK텔레콤
소속,로커스솔루션,로커스솔루션
소속,LG전자,LG전자
소속,LS산전,LS산전
소속,레오테크,레오테크
소속,알피엠텍,알피엠텍
소속,현대건설,현대건설
소속,SK건설,SK건설
소속,대우건설,대우건설
소속,㈜건화,㈜건화
소속,도화엔지니어링,도화엔지니어링
소속,유신,유신
소속,자인테크놀로지,자인테크놀로지
소속,티앤씨코리아,티앤씨코리아
소속,뉴토크코리아,뉴토크코리아
소속,효림이앤아이,효림이앤아이
소속,삼안,삼안
소속,이산,이산
소속,인화엔지니어링,인화엔지니어링
소속,위지트,위지트
소속,유솔,유솔
소속,계룡건설,계룡건설
소속,수성엔지니어링,수성엔지니어링
소속,플로닉스,플로닉스
소속,오투앤비,오투앤비
소속,위플랫,위플랫
소속,해외건설협회,해외건설협회
소속,한국표준협회,한국표준협회
소속,대한상하수도학회,대한상하수도학회
소속,한국수자원학회,한국수자원학회
소속,미래자원연구원,미래자원연구원
소속,성균관대학교 스마트그리드연구단,성균관대학교 스마트그리드연구단
소속,단국대학교,단국대학교
소속,강원대학교,강원대학교
소속,국토연구원,국토연구원
소속,중부대학교,중부대학교
소속,한국물학술단체연합회,한국물학술단체연합회
소속,한국전자통신연구원,한국전자통신연구원
소속,충남대학교 국제수자원연구소,충남대학교 국제수자원연구소
소속,한국물순환협회,한국물순환협회
소속,국제정책대학원대학교 (KDI),국제정책대학원대학교 (KDI)
소속,국토교통부,국토교통부
소속,환경부,환경부
소속,경주시,경주시
소속,대구광역시,대구광역시
소속,외교부,외교부
소속,경상북도,경상북도
소속,반기문재단,반기문재단
소속,주한호주대사관,주한호주대사관
소속,과학기술정책연구원,과학기술정책연구원
소속,고려대학교,고려대학교
소속,라오스 환경자원부,라오스 환경자원부
소속,UNDP Laos Office,유엔디피 라오스 사무소
소속,메콩강위원회(MRC),메콩강위원회(MRC)
소속,International Finance Center,국제 금융 센터
소속,미얀마 농업축산관개부,미얀마 농업축산관개부
소속,베트남 환경자원부,베트남 환경자원부
소속,International Union for Conservation of Nature,자연 보전을 위한 국제 연합
소속,캄보디아 수자원기상부,캄보디아 수자원기상부
소속,메콩연구소(MI),메콩연구소(MI)
소속,태국 수자원부,태국 수자원부
소속,U.S. Agency for International Development,미국 국제 개발 협력국
소속,Australia's Department of Foreign Affairs & Trade,호주 외무 및 무역부
소속,Asian Disaster Preparedness Center,아시아 재난 대비 센터
소속,Chulalongkorn University,철라롱꼬른 대학교
소속,Global Water Partnership,글로벌 물 파트너십
소속,주한태국대사관,주한태국대사관
소속,주한라오스대사관,주한라오스대사관
소속,주한베트남대사관,주한베트남대사관
소속,주한캄보디아대사관,주한캄보디아대사관
소속,주한미얀마대사관,주한미얀마대사관
소속,주한미국대사관,주한미국대사관
소속,주한대사관,주한대사관
소속,연세대학교 ,연세대학교 
소속,한국환경공단,한국환경공단
소속,한국수자원조사기술원,한국수자원조사기술원
소속,스마트물관리융합연구소,스마트물관리융합연구소
소속,Green Climate Fund,녹색기후기금
소속,유네스코 물안보 국제연구교육센터,유네스코 물안보 국제연구교육센터
소속, GGGI,글로벌 녹색성장연구소
소속,주한필리핀대사관,주한필리핀대사관
소속,주한파키스탄대사관,주한파키스탄대사관
소속,주한말레이시아대사관,주한말레이시아대사관
소속,주한타지키스탄 대사관,주한타지키스탄 대사관
소속,주한베트남사회주의공화국대사관,주한베트남사회주의공화국대사관
소속,Lao National Mekong Committee,라오 국가 메콩 위원회
소속,Ministry of natural resources and environment of laos,라오스의 자연 자원 및 환경부
소속,Natural Resources and Environment,자연 자원 및 환경
소속,TheGoverment of Mongolia,몽골 정부
소속,미국수도협회,미국수도협회
소속,World Bank,월드 뱅크
소속,Baton Roge Water Company,배턴루지 수도 회사
소속,American Water Works Association,미국수도협회
소속,Global water utility Division,세계 수도사업 부서
소속,Aliance for Global Water Adaptation(AGWA),국제 물 적응 연합(AGWA)
소속,The Nature Conservancy,자연 보호 협회
소속,"Republic of the Union of Myanmar, Ministry of 
Transport and Communications","미얀마 연방 공화국, 교통 통신부"
소속,Ministry of Natural Resources and Environment,자연자원 및 환경부
소속,"Ministry of Land Management, Water and Sanitation Services","토지 관리, 물 및 위생 서비스 부처"
소속,ABAR,아바르
소속,글로벌워터파트너십,국제 물 파트너십
소속,Stockholm International Water Institute(SIWI),스톡홀름 국제 물 연구소 (SIWI)
소속,GIWEH,지웨
소속,State for Sustainability and the Environment,지속가능성 및 환경부
소속,주필리핀 아랍에미레이트 대사,주필리핀 아랍에미레이트 대사
소속,GGGI,글로벌 녹색성장연구소
소속,EBRD,유럽 부흥 개발 은행
소속,European Bank,유럽은행
소속,Uzsuvtaminot JSC,우즈수브타미놋 주식회사
소속,Ministry of water resources of the republic of uzbekistan,우즈베키스탄 공화국 수자원부
소속,Kyiv City state,키이우 시 정부
소속,Kyiv City State Administration,키이우 시 정부청
소속,Ministry of Energy and Coal Industry Of Ukraine,우크라이나 에너지 및 석탄 산업부
소속,Ministry of food and agriculture of ukraine ,우크라이나 식품 및 농업부
소속,International Water Management Institute(IWMI),국제물관리연구소(IWMI)
소속,REREEE,REREEE
소속,인도 환경부,인도 환경부
소속,"Otorita Ibu Kota Nusantara, Republik Indonesia",인도네시아 공화국 누산타라 수도청
소속,National University Corporation,국립대학법인
소속,RUNBLUE,런블루
소속,Japan Water Forum,일본 워터 포럼
소속,Ministry of Land Infrastructure transport and tourism,토지 인프라 교통 및 관광부
소속,International Water Resources Association(IWRA),인터내셔널 워터 리소시에이션 (IWRA)
소속,"CHANGJIANG WATER RESOURCES COMMISSION OF 
THE MINISTRY OF WTAER RESOURCES OF CHINA",중국 수자원부의 창장 수자원위원회
소속,"Ministry of Water Resources, People's Republic of China",중화인민공화국 수자원부
소속,캄보디아 환경부,캄보디아 환경부
소속,Ministry of Water Resources and Meteorology(MOWRAM),물 자원 및 기상학부 (MOWRAM)
소속,케냐 물위생관개부,케냐 물위생관개부
소속,"Ministry of water,Sanitation and Irrigation of Kenya","케냐의 물, 위생, 및 관개부"
소속,Ministry of Environment of Denmark,덴마크 환경부
소속,키르기즈공화국 대통령 내각실,키르기즈공화국 대통령 내각실
소속,"INTERNATIONAL FUND FOR SAVING 
THE ARAL SEA EXECUTIVE COMMITTEE",아랄해 구조 국제 기금 집행 위원회
소속,UNESCO 동아시아지역사무국,유네스코 동아시아지역사무국
소속,"Office of the National Water Resources, 
Office of the Prime Minister","국가 수자원 관리 사무소, 총리실"
소속,DOLSAR Engineering,돌사르 엔지니어링
소속,TOBB,터키 상공회의소
소속,베올리아,베올리아
소속,세계물위원회,세계물위원회
소속,SUEX INTERNATIONAL,슈엑스 인터내셔널
소속,World Water Council,월드 워터 컨실
소속,OECD,경제협력개발기구
소속,Metropolitan Waterworks&Sewerage System,메트로폴리탄 워터웍스 앤드 스위러지 시스템
소속,주필리핀 대사관,주필리핀 대사관
소속,Republic of the philippines Natioanl power Corporation,필리핀 공화국 국립 전력 회사
소속,ADB,에이디비
소속,MWSS,엠더블유에스에스
소속,LOCAL WATER UTILITES ADMINISTRATION,로컬 워터 유틸리티즈 어드민이스트레이션
소속,주필리핀대사관,주필리핀대사관
소속,"Department of Environment and 
Natural Resources in Philippines ",필리핀 환경 및 자연 자원부
소속,Asian Development Bank,아시안 개발 은행
소속,SMC Infrastructure,SMC 인프라스트럭처
소속,Aviation Security Group,항공 보안 그룹
소속,Metropolitan waterworks & Sewerage System,메트로폴리탄 워터웍스 앤드 스위러지 시스템
소속,주한 베트남 대사관,주한 베트남 대사관
소속,Indonesian Embassy in SEOUL,서울의 인도네시아 대사관
소속,대한민국 주재 베트남 사회주의공화국 대사관,대한민국 주재 베트남 사회주의공화국 대사관
소속,Synergy Consulting,시너지 컨설팅
소속,Allen & Overy,앨런 & 오버리
소속,BGI,비지아이
소속,Multiconsult,멀티컨설팅
소속,SLR,에스엘알
소속,AON,에이온
소속,EY LLC,이와이 엘엘씨
소속,EIB,이아이비
소속,AIIB,에이아이아이비
소속,K-SURE,케이-슈어
소속,KDB,케이디비
소속,KEXIM,케심
소속,Clifford Chance,클리퍼드 찬스
소속,Begiashvili & Co,베기아쉬빌리 앤 코
소속,Mott MacDonald,모트 맥도날드
소속,Artelia,아르텔리아
소속,Marsh,마시
소속,E&Y,이앤와이
소속,MoESD,환경 및 지속 가능 발전부
소속,"GEDF
(Georgian Energy Development Fund)",조지아 에너지 개발 기금
소속,Shinhan,신한은행
소속,Hana,하나은행
소속,Woori,우리은행
소속,KB,국민은행
소속,Ministery of Energy (Power Division),에너지부 (파워 부문)
소속,"Private Power and Infrastructure Board (PPIB)
Ministery of Energy (Power Division)",민간 전력 및 인프라 이사회 에너지부 (전력 부서)
소속,"Central Power Purchasing Agency
(CPPA-G)
Ministery of Energy (Power Division)",중앙 전력 구매 기관 에너지 부 (전력 부서)
소속,National Electric Power Regulatory Authority,국가 전력 규제 당국
소속,National Electric Power Regulatory Authority (NEPRA),국가 전력 규제 당국 (NEPRA)
소속,"Ministry of Finance
Azad Government of the State of Jammu & Kashmir (GOAJK)",잠무 & 카슈미르 주 아자드 정부 (GOAJK) 재무부
소속,"Ministry of Electricity
Azad Government of the State of Jammu & Kashmir (GOAJK)",잠무 & 카슈미르 주 아자드 정부 (GOAJK) 전기부
소속,WB,더블유비
소속,Stantec,스탠텍
소속,Australian Government,호주 정부
소속,"Australian Government
(DFAT)",호주 정부 (DFAT)
소속,주파푸아 뉴기니 대사관,주파푸아 뉴기니 대사관
소속2,대한민국 국회,대한민국 국회
소속2,Governments,정부
소속2,MDBs & ECAs,다자개발은행 및 수출신용기관
소속2,International Organizations & Civil Society,국제기구 및 시민사회
소속2,Academia & Research Organizations,학계 및 연구 기관
소속2,대사관,대사관
소속2,National Congress,국가 의회
소속2,AWC 사무국 이사 ,아시아 물협의회 사무국 이사
소속2,Enterprises,기업
소속2,Public Organizations,공공기관
소속2,공공기관 등,공공기관 등
소속2,국제기구 및 NGO,국제기구 및 NGO
소속2,기업체,기업체
소속2,민간기업,민간기업
소속2,연구기관 및 대학,연구기관 및 대학
소속2,정부기관,정부기관
소속2,지방자치단체,지방자치단체
소속2,국내기관,국내기관
소속2,해외정부,해외정부
소속2,국제기구,국제기구
소속2,해외기관,해외기관
소속2,한국수출입은행,한국수출입은행
소속2,KOICA,한국국제협력단
소속2,Financial,금융
소속2,Legal ,법률
소속2,Legal-Local,법률-로컬
소속2,Technical,기술
소속2,E&S,환경 및 사회
소속2,Insurance,보험
소속2,Tax,세금
소속2,Legal,법률
소속2,Legal-local,법률-로컬
소속2,Model Auditor,모델 감사
소속3,상임위원,상임위원
소속3," Ministry of Water Resources and Irrigation, the Arab Republic of Egypt",이집트 아랍 공화국 수자원 및 관개부
소속3,"Ministry of Infrastructure and Water Management, Kingdom of the Netherlands",네덜란드 왕국 인프라 및 수자원 관리부
소속3,"World Bank Water Global Practice, the World Bank","세계은행 물 글로벌 실무 그룹, 세계은행"
소속3,U.S. Army Corps of Engineers,미국 육군 공병단
소속3,World Meteorological Organization (WMO),세계기상기구 (WMO)
소속3,United Nations Economic and Social Commission for Asia and the Pacific (UNESCAP),유엔 아시아태평양 경제사회위원회 (UNESCAP)
소속3,Global Water Partnership ,국제 물 파트너십
소속3,UN Office for Disaster Risk Reduction (UNDRR),유엔 재난 위험 감소 사무국 (UNDRR)
소속3,"Ministry of Public Works and Housing,  the Republic of Indonesia","공공 작업 및 주택부, 인도네시아 공화국"
소속3,Network of Asian River Basin Organizations (NARBO),아시아 강 유역 조직 네트워크 (NARBO)
소속3,Minister of Public Works and Housing (MPWH),공공사업 및 주택 장관 (MPWH)
소속3,"Ministry of Land, Infrastructure, Transport and Tourism (MLIT), the Japan","일본 토지, 인프라, 교통 및 관광부 (MLIT)"
소속3,Japan International Cooperation Agency (JICA),일본 국제 협력 기구 (JICA)
소속3, International Centre for Water Hazard and Risk Management (ICHARM),국제 수해 및 위험 관리 센터 (ICHARM)
소속3,Scientific Committee International Lake Environment Committee Foundation (ILEC),과학위원회 국제호수환경위원회 재단 (ILEC)
소속3,"Board of Trustees, Asian Institute of Technology (AIT)","이사회, 아시안 기술 연구소 (AIT)"
소속3,World Water Council (WWC),세계물위원회 (WWC)
소속3,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",유엔 교육과학문화기구 (유네스코)
소속3,"Public Governance, The Organisation for Economic Co-operation and Development (OECD)","공공 거버넌스, 경제 협력 개발 기구 (OECD)"
소속3,Asian Development Bank (ADB),아시안 개발 은행 (ADB)
소속3,"Sectors and Themes, Asian Development Bank (ADB)",아시아개발은행(ADB) 부문 및 주제
소속3,"Strategy and Partnerships, Water and Urban Development Sector Office, ADB",아시아개발은행(ADB) 물 및 도시 개발 부문 전략 및 파트너십 사무소
소속3,"Agriculture Food Nature and Rural Development Sector Office, ADB",아시아개발은행(ADB) 농업 식품 자연 및 농촌 개발 부문 사무소
